,Mid_kept,activation,epochs,batch_size,neurons,consensus,depth,accuracy
86,00000028846,0000000tanh,00000000250,00000003500,00000000008,0consensus5,00000000003,0.98699036
87,00000028846,0000000tanh,00000000025,00000000750,00000000011,0consensus5,00000000003,0.988062531
88,00000028846,0000000tanh,00000000250,00000001000,00000000005,0consensus5,00000000003,0.98066264
89,00000028846,0000000tanh,00000000100,00000000500,00000000008,0consensus5,00000000003,0.98950326
90,00000028846,0000000tanh,00000000100,00000000500,00000000011,0consensus6,00000000003,0.989594203
91,00000028846,0000000tanh,00000000100,00000001000,00000000011,0consensus5,00000000003,0.989809594
92,00000028846,0000000tanh,00000000250,00000000750,00000000011,0consensus6,00000000003,0.991714611
94,00000028846,0000000tanh,00000000250,00000003500,00000000011,0consensus5,00000000003,0.988526819
95,00000028846,0000000tanh,00000000500,00000000500,00000000011,0consensus6,00000000003,0.990790821
96,00000028846,0000000tanh,00000000100,00000000750,00000000011,0consensus5,00000000003,0.987052584
97,00000019846,0000000relu,00000000500,00000000500,00000000008,0consensus6,00000000003,0.990551498
98,00000019846,0000000relu,00000000500,00000000750,00000000008,0consensus6,00000000003,0.990733384
99,00000028846,0000000tanh,00000000100,00000003500,00000000011,0consensus5,00000000003,0.988139114
100,00000028846,0000000tanh,00000000100,00000000500,00000000011,0consensus5,00000000003,0.986559577
101,00000028846,0000000selu,00000000025,00000000500,00000000011,0consensus5,00000000003,0.989699505
102,00000028846,0000000tanh,00000000100,00000001000,00000000008,0consensus5,00000000003,0.98932616
103,00000019846,0000000tanh,00000000100,00000000500,00000000005,0consensus5,00000000003,0.991379558
104,00000028846,0000000tanh,00000000500,00000003500,00000000011,0consensus6,00000000003,0.991480074
105,00000019846,0000000tanh,00000000250,00000001000,00000000005,0consensus5,00000000003,0.992724557
106,00000019846,0000000relu,00000000500,00000001000,00000000008,0consensus6,00000000003,0.989330946
107,00000019846,0000000selu,00000000500,00000000500,00000000011,0consensus5,00000000009,0.991456142
108,00000019846,0000000selu,00000000100,00000000500,00000000008,0consensus5,00000000003,0.992403864
109,00000029646,0000000tanh,00000000100,00000000750,00000000011,0consensus5,00000000003,0.989780875
110,00000019846,0000000tanh,00000000100,00000000750,00000000011,0consensus5,00000000003,0.991968294
111,00000019846,0000000tanh,00000000250,00000003500,00000000008,0consensus5,00000000003,0.991111515
112,00000019846,0000000tanh,00000000500,00000003500,00000000005,0consensus5,00000000003,0.992351212
113,00000019846,0000000tanh,00000000100,00000000750,00000000005,0consensus5,00000000003,0.991298188
114,00000028846,0000000tanh,00000000500,00000003500,00000000008,0consensus6,00000000003,0.991006213
115,00000019846,0000000tanh,00000000100,00000001000,00000000011,0consensus5,00000000003,0.991652387
116,00000029646,0000000tanh,00000000500,00000003500,00000000011,0consensus6,00000000003,0.991288615
117,00000029646,0000000selu,00000000500,00000001000,00000000005,0consensus6,00000000003,0.992092743
118,00000019846,0000000tanh,00000000100,00000000500,00000000011,0consensus5,00000000003,0.992226764
119,00000019846,0000000tanh,00000000100,00000000750,00000000008,0consensus5,00000000003,0.991748117
120,00000029646,0000000selu,00000000500,00000001000,00000000005,0consensus5,00000000003,0.972157073
121,00000019846,0000000selu,00000000100,00000001000,00000000005,0consensus5,00000000003,0.990130288
122,00000029646,0000000tanh,00000000250,00000000750,00000000005,0consensus6,00000000003,0.991140234
123,00000028846,0000000tanh,00000000500,00000000500,00000000008,0consensus6,00000000003,0.991594949
124,00000025846,0000000relu,00000001000,00000002000,00000000009,0consensus0,00000000003,0.993538258
125,00000025846,0000000relu,00000001000,00000002000,00000000009,0consensus0,00000000003,0.992451728
126,00000025846,0000000relu,00000001000,00000000750,00000000009,0consensus0,00000000003,0.99224591
127,00000025846,0000000relu,00000001000,00000002000,00000000009,0consensus0,00000000015,0.993126621
128,00000025846,0000000relu,00000001000,00000000750,00000000009,0consensus0,00000000003,0.994026479
129,00000025846,0000000relu,00000001000,00000000750,00000000009,0consensus0,00000000015,0.993150554
130,00000025846,0000000relu,00000000500,00000005000,00000000009,0consensus0,00000000006,0.992576177
131,00000025846,0000000relu,00000001000,00000000750,00000000009,0consensus0,00000000006,0.994131781
132,00000025846,0000000relu,00000001000,00000001000,00000000009,0consensus0,00000000003,0.994122208
133,00000025846,0000000relu,00000000500,00000000750,00000000009,0consensus0,00000000009,0.993983401
134,00000025846,0000000relu,00000001000,00000002000,00000000009,0consensus0,00000000003,0.993897244
135,00000025846,0000000relu,00000000500,00000000500,00000000009,0consensus0,00000000003,0.992135821
136,00000025846,0000000relu,00000000250,00000000750,00000000009,0consensus0,00000000015,0.993887671
137,00000025846,0000000relu,00000000500,00000000500,00000000009,0consensus0,00000000009,0.993581337
138,00000025846,0000000relu,00000001000,00000005000,00000000009,0consensus0,00000000009,0.993858952
